asin,Title,Rating,NumberOfReviews,Price
B00Y1C9FHM,"Dunkin' Hazelnut Flavored Coffee, 60 Keurig K-Cup Pods",4.7,"13,150 ratings",
B00G01O8D8,2 Packs of 40 Oz Starbucks French Roast Whole Bean Coffee = 2 x 40 Oz = 80 Oz,4.7,"1,429 ratings",
B07NZV7JL5,"Amazon Brand - 100 Ct. Happy Belly Medium Roast Coffee Pods, Kona Blend, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"50,424 ratings",
B07YF6B15Y,"Café Bustelo Espresso Style Dark Roast Coffee, 96 Keurig K-Cup Pods, 24 Count (Pack of 4)",4.8,"25,434 ratings",
B000R4G4PO,"Bigelow Green Tea with Pomegranate, Caffeinated, 20 Count (Pack of 6), 120 Total Tea Bags",4.8,"18,851 ratings",
B07GTYCPZG,"Zevia Organic Sugar Free Iced Tea, Caffeine Free Hibiscus Tea Passionfruit, 12 Ounces (Pack of 12)",4.4,"5,749 ratings",
B07C3Z6RL4,"Cultured Traditions, Jun Triple Berry, 12 Fl Oz",5.0,3 ratings,
B07T86BGJR,"The Republic of Tea — Beautifying Botanicals® Beauty Sleep Chamomile Rose Herbal Tea Tin, 36 Tea Bags, Caffeine-Free",4.7,"1,078 ratings",
B01G40UDD8,"Mariage Freres. Marco Polo Black Tea, 30 Cotton Tea Bags 75g (1 Pack)",4.7,319 ratings,
B01F2DIFVA,Twinings Tea Bags Sampler Assortment Variety Pack - 40 ct with By The Cup Honey Stix,4.7,"2,281 ratings",
B0153PUZSS,"Tea Forte Assorted Classic Teas, Petite Presentation Box Tea Sampler Gift Set with 10 Handcrafted Pyramid Tea Infusers - Herbal Tea, Black Tea, Green Tea, White Tea",4.8,"6,940 ratings",
B000CMF196,Yogi Tea - Green Tea Blueberry Slim Life (6 Pack) - Energizes and Supports a Dieting Program - Contains Caffeine - 96 Organic Tea Bags,4.7,"2,748 ratings",
B01FKO5J2Y,"TAZO Tea Bags, Chai Tea, Decaf Tea, 20 Count (Pack of 6)",4.8,"14,709 ratings",
B079MF5GM2,"Yogi Tea, Honey Chai Turmeric Vitality, 16 ct",4.7,"1,053 ratings",
B006S4Y5B2,"Harney & Sons Fruity Black Tea with Bergamot, Paris, 50 Tea Bags",4.7,"22,742 ratings",
B00CE4VGTO,"Tetley Tea Bags, Black and Green, 72 Count (Packaging may vary)",4.6,"1,866 ratings",
B07WQFWGHV,Yogi Tea - Get Well Variety Pack Sampler (6 Pack) - Herbal Teas for Cold and Flu Symptom Support - Caffeine Free - 96 Organic Herbal Tea Bags,4.8,"3,923 ratings",
B00PO9NHES,"Harney and Sons Hot Cinnamon Spice, Bag of 50 Sachets, Black Tea w/ Orange Pieces and Cloves",4.9,"5,948 ratings",
B000SAPXN6,"Davidson's Tea Bulk, Organic Peppermint Leaves, 16-Ounce Bag",4.6,"34,554 ratings",
B016RY10QA,"Taylors of Harrogate Yorkshire Gold, 160 Teabags",4.8,453 ratings,
B00GA0QVMA,"Organic Positively Tea Company, Assam TGFOP Black Tea, Loose Leaf, 16 Ounce",4.5,"7,793 ratings",
B015Z6WJDY,"Pure Leaf Iced Tea, Unsweetened Black Tea, 18.5 Oz Bottles (12 Pack)",4.7,"28,184 ratings",
B07WVW6FVP,"Bigelow Cranberry Harvest Herbal Tea, Caffeine Free, 18 Count (Pack Of 6), 108 Total Tea Bags",4.8,548 ratings,
B0186S3EU0,"Tea Forte English Breakfast Loose Bulk Tea, 1 Pound Pouch, Organic Black Tea Makes 160-170 Cups",4.7,196 ratings,
B01476P2IC,"GuavaDNA Guava Leaf Tea 120 Individually Wrapped Teabags by MATCHA DNA | 100% Pure Guava Leaves, Nothing Else Added. | Great For Digestion, Sleep Support Teas | (120 Teabags)",4.3,"2,476 ratings",
B0024SGY8S,"The Republic of Tea — Vanilla Almond Black Tea Tin, 50 Tea Bags, Naturally Caffeinated",4.7,"2,097 ratings",
B0000TZJW0,"Traditional Medicinals Breathe Easy Eucalyptus Mint Herbal Tea, Promotes Respiratory Health, (Pack of 1) - 16 Tea Bags",4.7,"1,196 ratings",
B00GEG40LY,"Bigelow Black Tea 6 Flavor Variety Pack, Caffeinated 20 Count (Pack of 6), 120 Total Tea Bags",4.8,"34,413 ratings",
B08V34B96W,Lipton Tea Bags For A Naturally Smooth Taste Black Tea Iced or Hot Tea That Can Help Support a Healthy Heart 2x200 count tea bags 31.9 oz 200 Count (Pack of 2),4.8,"9,734 ratings",
B000MN69CS,"Taylors of Harrogate Green Tea with Jasmine, 50 Teabags",4.5,"20,367 ratings",
B00OMWSNEW,"Milo'S Tea, Tea Unsweetned, 128 Fl Oz",4.7,361 ratings, 
B07875HFC6,"Ocha & Co. Organic Gyokuro Green Tea – Shade Grown Japanese Loose Leaf Green Tea – Smooth Umami-Rich Aromatic Organic Green Tea from Japan, 100g/3.5oz.",4.5,242 ratings,
B07288BJXV,"Celestial Seasonings Wellness Tea, Sleepytime Extra, Caffeine Free Sleep Tea, 40 Tea Bags (Pack of 6)",4.8,"7,857 ratings",
B09HW99JD5,"Stash Tea Bags Sampler Assortment Variety Pack Gift, 52 Count",4.7,404 ratings,
B07GFPMRWP,"Teavana Jade Citrus Mint, Green Tea With Spearmint and Lemongrass, 15 Count 15 Sachets (Pack of 4)",4.7,"15,640 ratings",
B000RYDWKY,"Twinings of London English Breakfast Black Tea, 20 Tea Bags",4.8,"71,859 ratings", 
B0017T6S0Y,"Teas' Tea Unsweetened Pure Green Tea, Organic, Sugar Free, 0 Calories, 16.9 Ounce (Pack of 12)",4.5,"4,239 ratings",
B07M7F6QXJ,"Tazo Tea Bags Sampler 20 Count Variety Gift Box, 10 Different Flavors with By The Cup Honey Sticks",4.6,"1,566 ratings",
B007IW25FQ,"Traditional Medicinals Organic Nighty Night Valerian Relaxation Tea, 16 Tea Bags (Pack of 1)",4.5,"12,615 ratings",
B0B6DBNH6S,Yogi Tea - Pumpkin Spice Tea (4 Pack) - Eases Tension and Supports Relaxation - Limited Holiday Release - Caffeine Free - 64 Organic Herbal Tea Bags,4.5,35 ratings,
B000GFYRKI,"Bigelow Mint Medley Herbal Tea, Caffeine Free, 20 Count (Pack of 6)",4.7,"35,199 ratings",
B00GKL51PW,"Pg Tips Tea Bags, 240 Count, Pack of 2",4.8,"5,388 ratings",
B000R2Z8P8,"Arizona Green Tea with Ginseng and Honey, 128 Fl Oz",4.8,"10,716 ratings", 
B07W14VGVR,"Ahmad Tea - Favorite Tea Bags Sampler Assortment Box - 60 Count - Variety Tea Bags in Gift Box - Gift for Family, Friends, Coworkers - English Breakfast, English Afternoon, Green",4.6,"1,967 ratings",
B000WJNX3A,"Harney & Sons Flavored Black Tea, Paris, 4 Ounce",4.7,"1,716 ratings",
B002HQCWYM,"Twinings English Breakfast Tea K-Cup Pods for Keurig, Caffeinated, Smooth, Flavourful, Robust Black Tea, 24 Count (Pack of 1)",4.7,"39,402 ratings",
B07D44YMWH,"Twinings Herbal Tea Bags - 40 Individually Wrapped Tea Bags, Pure Peppermint, Camomile, Rooibos Red, Honeybush Mandarin Orange, Plus 9 More Flavors - with BYTC Honey Sticks",4.7,"4,126 ratings",
